* Block Type = 96-Well 0.2-mL Block
* Chemistry = TAQMAN
* Date Created = 2015-12-22 09:15:13 AM PST
* Experiment Barcode = NA
* Experiment Comment = Prime Star GXL mg/dntp start
grid screen 40, 45, 50 deg
* Experiment File Name = D:\Users\INSTR-USER\Desktop\Yarrow\Results\122115\2015-12_21_1_Prime_Star_GXL_Pol_kinetics.eds
* Experiment Name = 2015-12_21_1_Prime_Star_GXL_Pol_kinetics
* Experiment Run End Time = 2015-12-21 10:21:47 AM PST
* Experiment Type = Custom
* Instrument Name =       quantstudio3
* Instrument Serial Number = 272320216
* Instrument Type = QuantStudio® 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage4, Step1
* User Name = Yarrow

[Multicomponent Data]
Well Position	Cycle	ROX	SYBR
      C7	8	87,949.109	1,018,521.875
      C8	8		
      C9	8		
      C10	8	80,649.445	1,150,918.875
      C11	8		
      C12	8		
      D1	8		
      D2	8		
      D3	8		
      D4	8	99,113.266	992,999.750
      D5	8	90,347.203	599,837.375
      D6	8	84,524.609	949,561.625
      D7	8	87,142.703	958,314.125
      D8	8		
      D9	8		
      D10	8	80,439.633	1,043,861.875
      D11	8		
      D12	8		
      E1	8		
      E2	8	79,955.742	751,548.375
      E3	8	84,393.609	755,516.312
      E4	8	90,486.875	865,660.375
      E5	8	87,127.250	601,944.562
      E6	8	89,096.375	903,980.375
      E7	8	89,213.539	904,298.438
      E8	8		
      E9	8		
      E10	8	76,450.125	816,376.375
      E11	8		
      E12	8		
      F1	8		
      F2	8	81,328.828	1,295,282.625
      F3	8	65,164.922	1,363,655.125
      F4	8	97,082.578	918,865.562
      F5	8	85,501.102	566,775.438
      F6	8	84,189.211	805,495.312
      F7	8	89,492.086	818,946.688
      F8	8		
      F9	8		
      F10	8	78,591.758	602,594.875
      F11	8		
      F12	8		
      G1	8		
      G2	8	59,214.520	1,791,661.500
      G3	8	56,105.336	1,856,357.250
      G4	8	90,070.781	833,718.812
      G5	8	75,098.086	538,844.000
      G6	8	77,998.484	688,700.438
      G7	8	81,591.406	687,544.062
      G8	8		
      G9	8		
      G10	8	72,281.672	476,212.438
      G11	8		
      G12	8		
      H1	8		
      H2	8	41,115.500	2,210,637.500
      H3	8	38,532.723	2,178,262.000
      H4	8		
      H5	8		
      H6	8		
      H7	8		
      H8	8		
      H9	8		
      H10	8		
      H11	8		
      H12	8		
      A1	9		
      A2	9		
      A3	9		
      A4	9	124,000.648	1,325,306.125
      A5	9	100,902.086	629,634.125
      A6	9	100,258.930	1,336,466.250
      A7	9	95,383.906	1,343,133.125
      A8	9		
      A9	9		
      A10	9	94,283.828	1,456,224.875
      A11	9		
      A12	9		
      B1	9		
      B2	9		
      B3	9		
      B4	9	104,673.664	1,058,085.000
      B5	9	94,563.688	581,419.625
      B6	9	88,740.391	1,176,254.750
      B7	9	93,245.609	1,207,987.500
      B8	9		
      B9	9		
      B10	9	84,007.477	1,326,953.375
      B11	9		
      B12	9		
      C1	9		
      C2	9		
      C3	9		
      C4	9	98,612.344	997,388.875
      C5	9	86,712.500	555,452.125
      C6	9	89,219.039	1,076,019.375
      C7	9	87,630.031	1,058,445.125
      C8	9		
      C9	9		
      C10	9	80,749.000	1,235,392.500
      C11	9		
      C12	9		
      D1	9		
      D2	9		
      D3	9		
      D4	9	99,325.812	1,005,318.125
      D5	9	90,338.438	600,639.438
      D6	9	84,309.523	978,810.562
      D7	9	87,005.211	993,337.188
      D8	9		
      D9	9		
      D10	9	80,191.539	1,114,523.375
      D11	9		
      D12	9		
      E1	9		
      E2	9	80,486.617	751,453.688
      E3	9	84,524.258	755,919.875
      E4	9	90,631.648	872,062.562
      E5	9	87,643.852	602,177.000
      E6	9	88,925.188	926,143.750
      E7	9	89,182.336	929,728.125
      E8	9		
      E9	9		
      E10	9	76,636.492	866,871.562
      E11	9		
      E12	9		
      F1	9		
      F2	9	81,721.938	1,289,775.750
      F3	9	65,034.574	1,361,040.750
      F4	9	96,952.336	925,444.688
      F5	9	85,258.461	565,930.812
      F6	9	83,875.266	818,393.188
      F7	9	89,929.930	834,407.625
      F8	9		
      F9	9		
      F10	9	78,250.781	627,713.812
      F11	9		
      F12	9		
      G1	9		
      G2	9	59,072.688	1,786,029.750
      G3	9	55,949.875	1,850,845.500
      G4	9	89,860.039	840,534.500
      G5	9	74,934.125	538,117.062
      G6	9	77,954.383	694,908.750
      G7	9	81,397.680	696,614.438
      G8	9		
      G9	9		
      G10	9	72,028.445	484,024.906
      G11	9		
      G12	9		
      H1	9		
